,Ticker,Return_6M,Return_3M,Return_1M,Sharpe_3M,Sharpe_6M,Sharpe_12M,Avg_Sharpe,Rank_6M,Rank_3M,Rank_1M,Rank_Sharpe_3M,Rank_Sharpe_6M,Rank_Sharpe_12M,Rank_Sharpe,Final_Rank,Position
17,BAJAJ-AUTO.NS,42.1,23.6,19.7,0.2,0.2,0.2,0.22,26.0,13.0,2.0,9.0,7.5,2.5,1.5,42.5,1
46,COLPAL.NS,31.9,27.4,-0.1,0.4,0.1,0.2,0.22,37.0,9.0,32.0,1.0,33.0,2.5,1.5,79.5,2
47,CONCORDBIO.NS,60.5,44.3,40.8,0.3,0.2,0.1,0.19,10.0,3.0,1.0,2.0,7.5,25.0,3.0,17.0,3
43,CHOLAHLDNG.NS,87.3,51.4,17.5,0.2,0.2,0.1,0.18,4.0,1.0,4.0,9.0,7.5,25.0,5.0,14.0,4
26,BIKAJI.NS,92.3,28.0,9.1,0.2,0.2,0.1,0.18,3.0,8.0,13.0,9.0,7.5,25.0,5.0,29.0,5
13,AUROPHARMA.NS,52.6,23.1,-0.4,0.2,0.2,0.1,0.18,15.0,15.0,33.0,9.0,7.5,25.0,5.0,68.0,6
25,BHARTIARTL.NS,36.5,17.6,12.0,0.2,0.2,0.2,0.17,31.0,18.0,10.0,9.0,7.5,2.5,7.5,66.5,7
7,AJANTPHARM.NS,50.7,36.3,2.4,0.2,0.2,0.1,0.17,17.0,5.0,25.0,9.0,7.5,25.0,7.5,54.5,8
39,CDSL.NS,75.7,49.1,4.3,0.2,0.2,0.1,0.16,5.0,2.0,22.0,9.0,7.5,25.0,9.5,38.5,9
19,BALRAMCHIN.NS,62.4,31.6,0.8,0.2,0.2,0.1,0.16,7.0,7.0,30.0,9.0,7.5,25.0,9.5,53.5,10
41,CENTURYTEX.NS,96.8,25.8,19.5,0.1,0.2,0.1,0.15,2.0,11.0,3.0,23.5,7.5,25.0,12.0,28.0,11
32,BRITANNIA.NS,23.3,15.1,5.1,0.2,0.1,0.1,0.15,43.0,20.0,20.0,9.0,33.0,25.0,12.0,95.0,12
55,DEEPAKFERT.NS,100.0,43.0,-7.6,0.2,0.2,0.1,0.15,1.0,4.0,48.0,9.0,7.5,25.0,12.0,65.0,13
33,CESC.NS,61.1,25.5,-1.4,0.1,0.1,0.1,0.13,9.0,12.0,36.0,23.5,33.0,25.0,14.5,71.5,14
48,COROMANDEL.NS,55.8,8.0,-6.0,0.1,0.2,0.1,0.13,13.0,28.0,44.0,23.5,7.5,25.0,14.5,99.5,15
